	Kingdom	Phylum	Class	Order	Family	Genus	Species
16S_ASV_1109	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
16S_ASV_1110	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Parvularculaceae	Amphiplicatus	NA
16S_ASV_1111	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	KI89A clade	NA	NA
16S_ASV_1112	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanicella	NA
16S_ASV_1113	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	NA	NA
16S_ASV_1114	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
16S_ASV_1115	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	Pelagibius	NA
16S_ASV_1116	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	Sandaracinus	NA
16S_ASV_1117	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Amphritea	NA
16S_ASV_1118	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter	NA
16S_ASV_1119	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	NA
16S_ASV_1120	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	NA	NA
16S_ASV_1121	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
16S_ASV_1122	Bacteria	Planctomycetota	028H05-P-BN-P5	NA	NA	NA	NA
16S_ASV_1123	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
16S_ASV_1124	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
16S_ASV_1125	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
16S_ASV_1126	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	NA	NA
16S_ASV_1127	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA	NA
